Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Matías Mansilla,ARG,Goalkeeper,ar Estudiantes–LP,,1996,32,32,2880,41,119,80,5,4,4,0,0,40.300000000000004,96,276,586,155,232,447,32,21,0,-0.6999999999999984
Mauro Vigorito,ITA,Goalkeeper,Como,,1990,1,0,22,0,1,1,1,0,0,0,0,0.2,0,1,7,1,1,2,1,0,0,0.2
Max O'Leary,IRL,Goalkeeper,Bristol City,,1996,46,46,4140,51,188,138,13,5,4,1,0,48.8,231,802,1512,262,230,584,37,73,1,-2.200000000000003
Maxence Prevot,FRA,Goalkeeper,OH Leuven,,1997,11,11,990,21,56,34,2,3,2,1,0,17.8,64,166,308,70,100,189,17,6,1,-3.1999999999999993
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,,1994,20,20,1757,38,88,51,1,3,2,0,1,33.4,117,261,628,99,133,264,27,33,1,-4.600000000000001
Maxime Dupé,FRA,Goalkeeper,Anderlecht,,1993,7,7,630,7,24,17,2,2,2,0,0,7.0,21,62,232,18,36,101,6,7,0,0.0
Michael Brouwer,NED,Goalkeeper,Heracles Almelo,,1993,34,34,3060,74,226,153,4,5,5,0,0,69.0,207,688,1037,160,308,580,30,18,0,-5.0
Michael Cooper,ENG,Goalkeeper,Plymouth Argyle,,1999,19,19,1710,24,84,61,6,2,1,1,0,25.2,86,351,649,149,183,317,35,10,1,1.1999999999999993
Michael Verrips,NED,Goalkeeper,Fortuna Sittard,,1996,12,12,1080,22,51,30,2,0,0,0,0,15.9,73,253,268,21,84,170,11,8,0,-6.1
Michele Avella,ITA,Goalkeeper,Brescia,,2000,5,4,405,6,27,20,1,3,2,1,0,7.7,18,66,100,23,40,62,8,1,1,1.7000000000000002
Mickey van der Hart,NED,Goalkeeper,Heerenveen,,1994,12,12,1080,27,60,34,3,1,1,0,0,20.2,69,189,339,43,86,184,7,4,0,-6.800000000000001
Miguel Carvalho,POR,Goalkeeper,Farense,,1996,2,2,180,5,11,6,0,0,0,0,0,4.7,8,21,38,13,16,26,2,0,0,-0.2999999999999998
Miguel Jiménez Ponce,MEX,Goalkeeper,Guadalajara,,1990,16,15,1425,21,68,46,5,5,4,1,0,22.6,61,180,297,56,126,203,4,11,1,1.6000000000000014
